state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,election_year,qualification,total_votes_const,vote_share,rank_in_const,won_seat,top1_vote_share,top2_vote_share,margin_top1_top2,num_candidates,enp
1,4,4,P034,ज्ञान बहादुर इम्बुङ लिम्बु,पुरुष,45,1132,2074,unknown,73629,0.015374377,3,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P092,तुलसीराज उप्रेती,पुरुष,31,665,2074,unknown,73629,0.009031767,4,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P006,लाहान सिं तुम्बापो,पुरुष,59,472,2074,unknown,73629,0.006410518,5,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P096,तेज बहादुर थापा,पुरुष,63,332,2074,unknown,73629,0.004509093,6,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P055,अर्जुन देव सेर्मा,पुरुष,37,288,2074,unknown,73629,0.003911502,7,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P113,हरीभक्त संग्रौला,पुरुष,65,151,2074,unknown,73629,0.002050822,8,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P017,रुद्र बहादुर राई,पुरुष,39,94,2074,unknown,73629,0.001276671,9,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P111,सुभाष अधिकारी,पुरुष,41,90,2074,unknown,73629,0.001222344,10,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P000,एज्ञ बहादुर खड्का,पुरुष,56,37,2074,unknown,73629,0.000502519,11,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P000,पर्शुराम काफले,पुरुष,46,18,2074,unknown,73629,0.000244469,12,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,4,P000,डिल्ली प्रसाद कट्टेल,पुरुष,38,13,2074,unknown,73629,0.000176561,13,0,0.591003545,0.364285811,0.226717734,13,2.073004217
1,4,5,P001,के.पी शर्मा ओली,पुरुष,65,57139,2074,unknown,91345,0.625529586,1,1,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P002,खगेन्द्र अधिकारी,पुरुष,43,28297,2074,unknown,91345,0.309781597,2,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P006,सत्‍यदेव यादव,पुरुष,63,1915,2074,unknown,91345,0.020964475,3,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P034,भानुभक्त भट्टराई,पुरुष,49,1380,2074,unknown,91345,0.015107559,4,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P022,घनश्याम गुरागाई,पुरुष,41,642,2074,unknown,91345,0.007028299,5,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P092,प्रकाश गौतम,पुरुष,50,611,2074,unknown,91345,0.006688927,6,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P055,पदम बहादुर जवेगु,पुरुष,40,519,2074,unknown,91345,0.005681756,7,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P014,भेषराज भट्टराई,पुरुष,36,296,2074,unknown,91345,0.003240462,8,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P096,चेतनाथ थापा,पुरुष,44,257,2074,unknown,91345,0.002813509,9,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P017,सान बहादुर मेचे,पुरुष,34,116,2074,unknown,91345,0.001269911,10,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P113,वासु देव दुलाल,पुरुष,38,99,2074,unknown,91345,0.001083803,11,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P000,प्रेम बहादुर खडका,पुरुष,41,55,2074,unknown,91345,0.000602113,12,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P000,ईन्द्र प्रसाद न्यौपाने,पुरुष,52,13,2074,unknown,91345,0.000142318,13,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,4,5,P000,इन्द्र राज अधिकारी,पुरुष,48,6,2074,unknown,91345,6.5685E-05,14,0,0.625529586,0.309781597,0.315747988,14,2.048896253
1,5,1,P001,राजेन्द्र प्रसाद गौत्तम,पुरुष,54,32769,2074,unknown,65967,0.496748374,1,1,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P002,दिपक खड्का,पुरुष,46,31639,2074,unknown,65967,0.479618597,2,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P006,भवानी प्रसाद राई,पुरुष,53,587,2074,unknown,65967,0.008898389,3,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P014,फरेन्द्र शर्म (दाहाल),पुरुष,38,230,2074,unknown,65967,0.003486592,4,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P034,राज कुमार लिम्बु,पुरुष,30,191,2074,unknown,65967,0.002895387,5,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P055,भरत राई (लाङछवा),पुरुष,74,168,2074,unknown,65967,0.002546728,6,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P017,नरेन्द्र राज राई,पुरुष,45,125,2074,unknown,65967,0.001894887,7,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P096,गोपाल राज पौडेल,पुरुष,53,117,2074,unknown,65967,0.001773614,8,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P029,ललित गुरुङ्ग,पुरुष,26,87,2074,unknown,65967,0.001318841,9,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P111,ट‌ंक बहादुर न्यौपाने,पुरुष,33,37,2074,unknown,65967,0.000560887,10,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,5,1,P000,गुप्त बहादुर श्रेष्ठ,पुरुष,57,17,2074,unknown,65967,0.000257705,11,0,0.496748374,0.479618597,0.017129777,11,2.096840439
1,6,1,P001,भवानी प्रसाद खापुङ,पुरुष,56,21335,2074,unknown,42301,0.504361599,1,1,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P002,सिता गुरुङ्ग,महिला,41,19314,2074,unknown,42301,0.456584951,2,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P034,शंकर मान लिम्बु,पुरुष,37,910,2074,unknown,42301,0.021512494,3,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P014,टंक बहादुर भट्टराई,पुरुष,60,170,2074,unknown,42301,0.004018818,4,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P006,तुलसी प्रसाद अधिकारी,पुरुष,48,156,2074,unknown,42301,0.003687856,5,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P022,डिल्ली बहादुर बुढाथोकी,पुरुष,26,145,2074,unknown,42301,0.003427815,6,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P055,सागर नाथ रेग्मी,पुरुष,59,97,2074,unknown,42301,0.00229309,7,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P113,काली बहादुर फुदोङ,पुरुष,54,50,2074,unknown,42301,0.001182005,8,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P096,गौरी प्रसाद कन्दङवा,पुरुष,64,46,2074,unknown,42301,0.001087445,9,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P017,गंगा वहादुर चोङवाङ् लिम्बु,पुरुष,31,45,2074,unknown,42301,0.001063805,10,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,6,1,P012,हरि लाल अधिकारी,पुरुष,64,33,2074,unknown,42301,0.000780123,11,0,0.504361599,0.456584951,0.047776648,11,2.158129114
1,7,1,P003,सुदन किराती,पुरुष,38,34394,2074,unknown,60424,0.56921091,1,1,0.56921091,0.359062624,0.210148285,8,2.197961347
1,7,1,P002,उमेश जंग रायमाझी,पुरुष,48,21696,2074,unknown,60424,0.359062624,2,0,0.56921091,0.359062624,0.210148285,8,2.197961347
1,7,1,P022,अनिल बस्नेत,पुरुष,34,2601,2074,unknown,60424,0.04304581,3,0,0.56921091,0.359062624,0.210148285,8,2.197961347
1,7,1,P017,चन्द्र प्रसाद राई,पुरुष,39,480,2074,unknown,60424,0.007943863,4,0,0.56921091,0.359062624,0.210148285,8,2.197961347
1,7,1,P113,डिल्ली राम वोहरा,पुरुष,38,480,2074,unknown,60424,0.007943863,5,0,0.56921091,0.359062624,0.210148285,8,2.197961347
1,7,1,P014,युवराज कटवाल,पुरुष,26,335,2074,unknown,60424,0.005544155,6,0,0.56921091,0.359062624,0.210148285,8,2.197961347
1,7,1,P029,ध्रुवराज राई,पुरुष,36,303,2074,unknown,60424,0.005014564,7,0,0.56921091,0.359062624,0.210148285,8,2.197961347
1,7,1,P034,केदार राई मेवाहाङ,पुरुष,28,135,2074,unknown,60424,0.002234212,8,0,0.56921091,0.359062624,0.210148285,8,2.197961347
1,8,1,P001,राजेन्द्र कुमार राई,पुरुष,51,37333,2074,unknown,66564,0.560858722,1,1,0.560858722,0.403731747,0.157126976,6,2.09150885
1,8,1,P097,सुनील बहादुर थापा,पुरुष,58,26874,2074,unknown,66564,0.403731747,2,0,0.560858722,0.403731747,0.157126976,6,2.09150885
1,8,1,P096,सुभान सिं राई,पुरुष,40,1390,2074,unknown,66564,0.020882159,3,0,0.560858722,0.403731747,0.157126976,6,2.09150885
1,8,1,P034,चन्द्र सिंह लिम्वु नेम्वाङ्ग,पुरुष,39,726,2074,unknown,66564,0.010906796,4,0,0.560858722,0.403731747,0.157126976,6,2.09150885
1,8,1,P055,इन्द्र वहादुर रसाइली,पुरुष,70,147,2074,unknown,66564,0.002208401,5,0,0.560858722,0.403731747,0.157126976,6,2.09150885
1,8,1,P017,श्याम मान राई,पुरुष,48,94,2074,unknown,66564,0.001412175,6,0,0.560858722,0.403731747,0.157126976,6,2.09150885
1,9,1,P001,घनश्याम खतीवडा,पुरुष,56,37524,2074,unknown,71427,0.525347558,1,1,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P002,डिग बहादुर लिम्वु,पुरुष,54,31436,2074,unknown,71427,0.440113683,2,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P034,अशोक चेम्जोङ,पुरुष,32,1152,2074,unknown,71427,0.016128355,3,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P006,राज कुमार लिम्‍बु,पुरुष,36,623,2074,unknown,71427,0.008722192,4,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P055,फिव राज लिम्वु,पुरुष,40,197,2074,unknown,71427,0.002758061,5,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P017,सुरज लिम्वु,पुरुष,33,183,2074,unknown,71427,0.002562056,6,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P014,हरी प्रसाद न्यौपाने,पुरुष,53,122,2074,unknown,71427,0.001708038,7,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P000,याम प्रसाद दाहाल,पुरुष,52,92,2074,unknown,71427,0.001288028,8,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P104,नरेन्द्र शंसेर लिम्बु,पुरुष,59,81,2074,unknown,71427,0.001134025,9,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,1,P000,भिम बहादुर तामाङ्ग,पुरुष,79,17,2074,unknown,71427,0.000238005,10,0,0.525347558,0.440113683,0.085233875,10,2.127449544
1,9,2,P002,मिनेन्द्र प्रसाद रिजाल,पुरुष,60,35819,2074,unknown,75789,0.472614759,1,1,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P001,ऋषिकेश पोखरेल,पुरुष,50,34014,2074,unknown,75789,0.448798638,2,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P006,युवराज कार्की,पुरुष,63,2595,2074,unknown,75789,0.034239797,3,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P029,महेन्द्र लाल दास केवरत,पुरुष,63,2082,2074,unknown,75789,0.027471005,4,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P034,थिर बहादुर लिम्बु,पुरुष,71,293,2074,unknown,75789,0.003865996,5,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P023,रघु हास्दा सतार,पुरुष,55,280,2074,unknown,75789,0.003694468,6,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P014,दिपक कोईराला,पुरुष,45,249,2074,unknown,75789,0.003285437,7,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P096,कुसुम लाल साह,पुरुष,63,210,2074,unknown,75789,0.002770851,8,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P113,होम वहादुर अधिकारी,पुरुष,32,98,2074,unknown,75789,0.001293064,9,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P012,सुरेन्द्र भण्डारी,पुरुष,37,93,2074,unknown,75789,0.001227091,10,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P011,तेज प्रसाद ढकाल,पुरुष,33,42,2074,unknown,75789,0.00055417,11,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,2,P000,कल्पना बिमली,महिला,36,14,2074,unknown,75789,0.000184723,12,0,0.472614759,0.448798638,0.023816121,12,2.343223503
1,9,3,P001,भानु भक्त ढकाल,पुरुष,55,42413,2074,unknown,87443,0.485035966,1,1,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P002,शुनिल कुमार शर्मा,पुरुष,39,40506,2074,unknown,87443,0.463227474,2,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P022,उद्धिम बहादुर खड्का,पुरुष,35,1338,2074,unknown,87443,0.015301396,3,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P034,भवि राज लिम्बु,पुरुष,46,1013,2074,unknown,87443,0.011584689,4,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P006,केदार धिमाल,पुरुष,34,974,2074,unknown,87443,0.011138685,5,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P017,बिकेन्द्र राई,पुरुष,36,417,2074,unknown,87443,0.004768821,6,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P113,सीताराम बुढाथोकी,पुरुष,47,393,2074,unknown,87443,0.004494356,7,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P029,कमल बहादुर गुरुङ्ग,पुरुष,39,268,2074,unknown,87443,0.003064854,8,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P012,योगेन्द्र ढकाल,पुरुष,54,65,2074,unknown,87443,0.000743341,9,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P000,पूर्ण वहादुर कार्की,पुरुष,42,19,2074,unknown,87443,0.000217284,10,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P011,गणेश वहादुर फूयल,पुरुष,44,17,2074,unknown,87443,0.000194412,11,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P000,सुरेश भण्डारी,पुरुष,37,10,2074,unknown,87443,0.00011436,12,0,0.485035966,0.463227474,0.021808492,13,2.220322676
1,9,3,P000,दीवाकर माझी,पुरुष,27,10,2074,unknown,87443,0.00011436,13,0,0.485035966,0.463227474,0.021808492,13,2.220322676
