state_id,district_id,const_id,party_id,candidate_name,gender,age,qualification,election_year,seat_id,candidate_name_norm,candidate_key,pr_share_seat_79,pr_rank_seat_79,pr_share_district_74,pr_rank_district_74,missing_pr_share_seat_79,missing_pr_rank_seat_79,missing_pr_share_district_74,missing_pr_rank_district_74,Literacy Rate 2078,edu_below_slc,edu_slc_to_inter,edu_grad_or_higher,cand_vote_share_prev_79,cand_rank_prev_79,cand_won_prev_79,missing_cand_vote_share_prev_79,missing_cand_rank_prev_79,missing_cand_won_prev_79,party_vote_share_prev_79,party_rank_prev_79,party_won_prev_79,party_contested_prev_79,missing_party_vote_share_prev_79,missing_party_rank_prev_79,missing_party_won_prev_79,enp_prev_79,num_candidates_prev_79,margin_prev_79,top1_share_prev_79,top2_share_prev_79,missing_enp_prev_79,missing_num_candidates_prev_79,missing_margin_prev_79,missing_top1_share_prev_79,missing_top2_share_prev_79,is_independent,is_alternative_party,is_youth_favoured_party,has_national_leader_presence,is_old_established_party,was_in_ousted_government
1,3,1,P005,ज्वाला  नेपाल,महिला,35,unknown,2082,3_1,ज व ल न प ल,ज व ल न प ल_3_1,0.022811419747670602,6.0,0.02036303107165504,5.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.028043776,4.0,0.0,1,0,0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,1,1,0
1,3,1,P009,लिला बहादुर सुनुवार,पुरुष,58,unknown,2082,3_1,ल ल बह द र स न व र,ल ल बह द र स न व र_3_1,0.00019301970555721278,28.0,0.0,0.0,0,0,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,1,0,0,0,0
1,3,1,P011,तुल्सी केशरी प्रजापति (छुंजु),महिला,51,unknown,2082,3_1,त ल स क शर प रज पत छ ज,त ल स क शर प रज पत छ ज_3_1,0.000736984330309358,17.0,0.0003249841471147749,22.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,0,0,0
1,3,1,P017,बुद्ध लाल मेचे,पुरुष,55,unknown,2082,3_1,ब द ध ल ल म च,ब द ध ल ल म च_3_1,0.037112425204864095,5.0,0.014766962587190869,7.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.04282858,3.0,0.0,0,0,0,0.04282858,3.0,0.0,1,0,0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,0,0,0
1,3,1,P025,डम्बर सिंह लिम्बु,पुरुष,68,unknown,2082,3_1,डम बर स ह ल म ब,डम बर स ह ल म ब_3_1,0.0,0.0,0.0,0.0,1,1,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,0,0,0
1,3,1,P034,राम प्रसाद लिम्बू,पुरुष,63,unknown,2082,3_1,र म प रस द ल म ब,र म प रस द ल म ब_3_1,0.0020354805313306077,10.0,0.01880152187698161,6.0,0,0,0,0,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.002648287,11.0,0.0,1,0,0,0,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,0,0,0
1,3,1,P046,विनोद नेम्बाङ्ग लिम्बु,पुरुष,37,unknown,2082,3_1,व न द न म ब ङ ग ल म ब,व न द न म ब ङ ग ल म ब_3_1,0.0,0.0,0.0,0.0,1,1,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,1,0,1,0,0
1,3,1,P052,नारदमणी साङपाङ्ग,पुरुष,64,unknown,2082,3_1,न रदमण स ङप ङ ग,न रदमण स ङप ङ ग_3_1,7.018898383898647e-05,42.0,0.0,0.0,0,0,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,0,0,0,0,0
1,3,1,P057,हरि बहादुर गुरुङ,पुरुष,45,unknown,2082,3_1,हर बह द र ग र ङ,हर बह द र ग र ङ_3_1,0.0,0.0,0.0,0.0,1,1,1,1,83.37,69.4,20.759999999999998,4.46,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0,1,1,1,2.68983632,11,0.046722088,0.451664387,0.404942299,0,0,0,0,0,0,1,0,1,0,0
1,3,2,P000,डाक प्रसाद गौतम,पुरुष,58,unknown,2082,3_2,ड क प रस द ग तम,ड क प रस द ग तम_3_2,0.0,0.0,0.0,0.0,1,1,1,1,83.37,69.4,20.759999999999998,4.46,0.000815895,11.0,0.0,0,0,0,0.0,0.0,0.0,0,1,1,1,2.43058503,14,0.001722445,0.453577095,0.45185465,0,0,0,0,0,1,0,0,0,0,0
