state_id,district_id,const_id,party_id,candidate_name,gender,age,vote_received,qualification
1,9,3,P000,रेवत कुमार बस्नेत,पुरुष,38,7,S.L.C.
1,9,3,P000,बावु राम सुवेदी,पुरुष,34,6,S.L.C.
1,9,3,P000,जीब नाथ निरौला,पुरुष,34,4,Education N/A
1,9,3,P000,धर्म प्रसाद न्यौपाने,पुरुष,45,4,+2
1,9,3,P000,पंकज कुमार भगत,पुरुष,32,2,+2
1,9,3,P000,चन्द्र कला खत्रि,महिला,33,1,‌‌‍+२
1,9,3,P000,प्रकाश भट्टराई,पुरुष,39,1,Master
1,9,4,P003,अमन लाल मोदी,पुरुष,37,30612,10+2
1,9,4,P001,विनोद प्रसाद ढकाल,पुरुष,54,24463,Bachelor
1,9,4,P005,रवि रिजाल,पुरुष,50,7468,Education N/A
1,9,4,P004,नेत्र प्रसाद सिवाकोटी,पुरुष,48,5333,Education N/A
1,9,4,P013,नविन कुमार विश्‍वास खवास,पुरुष,45,885,Masters
1,9,4,P000,देव नारायण विश्‍वास,पुरुष,56,278,Masters
1,9,4,P000,महेश नेपाल,पुरुष,32,265,Bachelor
1,9,4,P000,ज्ञानेन्द्र खत्री,पुरुष,47,228,Masters
1,9,4,P010,लक्ष्मण साहु,पुरुष,49,198,S.L.C.
1,9,4,P000,पदम कार्की,पुरुष,27,181,Proficiency Certificate
1,9,4,P017,धन बहादुर लिम्बु,पुरुष,31,135,10+2
1,9,4,P073,अशोक पौडेल,पुरुष,50,69,Proficiency Certificate
1,9,4,P011,श्याम बहादुर दर्जी,पुरुष,36,63,Education N/A
1,9,4,P034,गुल्टेन रिषिदेव,पुरुष,59,51,Education N/A
1,9,4,P000,कुवेत मिया,पुरुष,26,27,Education N/A
1,9,4,P000,राजेन्द्र कुमार खवास,पुरुष,53,27,Proficiency Certificate
1,9,5,P000,योगेन्द्र मण्डल,पुरुष,51,21820,Bachelor
1,9,5,P003,शिव कुमार मंडल (केवट),पुरुष,47,17486,Proficiency Certificate
1,9,5,P006,राज कुमार यादव,पुरुष,50,17390,स्नातक
1,9,5,P005,रेवत बहादुर थापा,पुरुष,76,2479,Bachelor
1,9,5,P007,परमेश्वर मुर्मु,पुरुष,42,2395,Proficiency Certificate
1,9,5,P004,प्रमोद कुमार मण्डल,पुरुष,37,2282,10+2
1,9,5,P000,मोहमद रेजा हुसैन,पुरुष,47,1900,S.L.C.
1,9,5,P013,फिरोज कुमार साह,पुरुष,39,794,UNDER SLC
1,9,5,P000,रमेश कुमार यादव,पुरुष,33,314,Bachelor
1,9,5,P000,राम प्रसाद मुखिया,पुरुष,69,112,साधारण
1,9,5,P034,मंगल ऋषिदेव,पुरुष,39,103,Education N/A
1,9,5,P000,विधा भूषण प्रसाद,पुरुष,58,96,11 pass
1,9,5,P016,मजबुल रहमान मियाँ मुस्लिम,पुरुष,41,88,Education N/A
1,9,5,P000,गयानन्द मण्डल केवरत,पुरुष,69,46,IL
1,9,5,P000,सन्जु शर्मा वडइ,महिला,44,45,Under SLC
1,9,5,P000,मनोज कुमार मण्डल,पुरुष,37,30,SLC
1,9,6,P002,डा शेखर कोइराला,पुरुष,72,35224,स्नातकोत्तर (एम.डि.मेडिकल)
1,9,6,P001,लाल बाबु पंण्डित,पुरुष,63,22946,Bachelor
1,9,6,P004,यादव कुमार प्रधान,पुरुष,42,9140,Bachelor
1,9,6,P005,गोपाल क्षेत्री,पुरुष,64,8925,Proficiency Certificate
1,9,6,P007,बुद्धि राम माझि,पुरुष,42,1844,Education N/A
1,9,6,P000,सरोज नेपाल,पुरुष,31,900,+2
1,9,6,P009,बलराम खवास,पुरुष,46,508,Education N/A
1,9,6,P013,टेक वहादुर अधिकारी श्रेत्री,पुरुष,67,434,Bachelor
