district_id,party_id,votes_received,year
23,P001,7822,2074
23,P002,6597,2074
23,P014,5491,2074
23,P003,1823,2074
23,P092,341,2074
23,P005,273,2074
23,P017,113,2074
23,P098,75,2074
23,P113,68,2074
23,P012,42,2074
23,P096,37,2074
23,P022,37,2074
23,P058,29,2074
23,P006,22,2074
23,P011,19,2074
23,P036,13,2074
23,P097,12,2074
23,P104,10,2074
23,P074,10,2074
23,P055,7,2074
23,P100,6,2074
23,P111,5,2074
23,P114,5,2074
23,P102,5,2074
23,P108,4,2074
23,P059,3,2074
23,P029,3,2074
23,P018,3,2074
23,P115,2,2074
23,P015,2,2074
23,P112,2,2074
23,P107,2,2074
23,P023,2,2074
23,P101,2,2074
23,P109,1,2074
23,P110,1,2074
23,P117,1,2074
23,P091,1,2074
23,P099,1,2074
23,P103,1,2074
23,P116,1,2074
23,P106,1,2074
23,P073,1,2074
23,P033,0,2074
23,P027,0,2074
23,P105,0,2074
23,P039,0,2074
23,P034,0,2074
23,P021,0,2074
24,P001,58950,2074
24,P002,42270,2074
24,P003,25779,2074
24,P005,9529,2074
24,P014,2416,2074
24,P092,1628,2074
24,P022,643,2074
24,P097,604,2074
24,P058,354,2074
24,P096,210,2074
24,P017,202,2074
24,P074,81,2074
24,P011,44,2074
24,P029,42,2074
24,P012,40,2074
24,P021,35,2074
24,P055,34,2074
24,P113,32,2074
24,P102,32,2074
24,P100,28,2074
24,P059,27,2074
24,P006,24,2074
24,P111,18,2074
24,P098,17,2074
24,P099,15,2074
24,P114,14,2074
24,P106,14,2074
24,P023,14,2074
24,P018,12,2074
24,P039,12,2074
24,P101,12,2074
24,P107,10,2074
24,P117,10,2074
24,P104,9,2074
24,P109,9,2074
24,P110,9,2074
24,P103,8,2074
24,P034,8,2074
24,P073,6,2074
24,P033,6,2074
24,P036,6,2074
24,P091,5,2074
24,P105,5,2074
24,P115,3,2074
24,P108,3,2074
24,P027,3,2074
24,P112,3,2074
24,P015,3,2074
24,P116,2,2074
25,P002,47459,2074
25,P001,39570,2074
25,P003,28120,2074
25,P096,3563,2074
25,P092,1926,2074
25,P097,1177,2074
25,P022,928,2074
25,P005,544,2074
25,P014,512,2074
25,P058,235,2074
25,P017,117,2074
25,P074,95,2074
25,P011,88,2074
25,P113,71,2074
25,P006,64,2074
25,P029,51,2074
25,P012,36,2074
25,P055,33,2074
25,P100,22,2074
25,P103,21,2074
25,P099,20,2074
25,P111,18,2074
25,P098,17,2074
25,P101,17,2074
25,P027,14,2074
25,P036,14,2074
25,P023,13,2074
25,P102,13,2074
25,P116,12,2074
25,P104,11,2074
25,P021,11,2074
25,P110,11,2074
25,P015,10,2074
25,P039,10,2074
25,P059,9,2074
25,P033,9,2074
25,P106,9,2074
25,P034,7,2074
25,P114,6,2074
25,P105,5,2074
25,P107,5,2074
25,P112,5,2074
25,P018,4,2074
25,P073,4,2074
25,P115,4,2074
25,P117,4,2074
25,P109,3,2074
25,P091,3,2074
25,P108,3,2074
26,P001,147796,2074
26,P002,122094,2074
26,P092,61805,2074
26,P003,31432,2074
26,P005,14899,2074
26,P014,4451,2074
26,P006,3741,2074
26,P011,3203,2074
26,P097,2485,2074
26,P105,2428,2074
26,P096,2110,2074
26,P022,1481,2074
26,P113,1077,2074
26,P029,987,2074
26,P012,825,2074
26,P058,524,2074
26,P073,419,2074
26,P023,412,2074
26,P059,400,2074
26,P021,378,2074
26,P104,292,2074
26,P074,261,2074
26,P055,219,2074
26,P107,182,2074
26,P098,173,2074
26,P100,169,2074
26,P102,145,2074
26,P114,134,2074
26,P111,107,2074
