party_id,district_id,election_year,vote_share_lag,is_new_party,Absent rate within country 2078,Absent rate abroad 2078,Literacy Rate 2078,Primary Education % 2078,Lower Secondary % 2078,Upper Secondary % 2078,SLC or SEE % 2078,Intermediate & equivalent % 2078,Graduate & equivalent % 2078,Post graduate equivalent & above % 2078,IS_Major?,IS_ALTERNATIVE_FORCE?,GenZ_and_Youth_Favored?,Was_Part_Of_Ousted_Government?,Facebook_Presence (In Thousands),Top_leader_fb (in Thousands),facebook_log,leader_following_log,female_ratio,age_18-29_ratio,age_30-39_ratio,age_40-49_ratio,age_50-59_ratio,age_60-69_ratio,age_70+_ratio,total_voters,valid_turnout_lag
P009,50,2082,0.0183482497808403,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,1,0,1,43.0,50.0,3.784189633918261,3.9318256327243257,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P010,50,2082,0.0142708609406536,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,1,7.0,9.0,2.079441541679836,2.302585092994046,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P011,50,2082,0.0428125828219608,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,5.0,8.0,1.791759469228055,2.19722457733622,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P012,50,2082,8.782695561762248,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,4.0,7.0,1.6094379124341005,2.079441541679836,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P013,50,2082,0.0611608326028011,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P014,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,21.0,1500.0,3.091042453358316,7.313886831633462,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P015,50,2082,0.0,1,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P016,50,2082,0.0061160832602801,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P017,50,2082,0.4413773419502151,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
P018,50,2082,0.0071354304703268,0,12.59,13.71,79.97,30.43,19.94,14.93,8.75,12.9,2.74,1.33,0,0,0,0,1.0,1.0,0.6931471805599453,0.6931471805599453,0.5097398400049643,0.17965570557603902,0.2546423898935263,0.1921388347355738,0.14608984336620454,0.11511989285400323,0.11235333357465314,193381,51.03
